iteracion,valor
0,0.00000000000030953017926549364
1,0.0000000711605605552279
2,0.0000000000005084821452783217
3,0.000000000015497381156137635
4,0.00000000006520339823623544
5,0.00000000014400258763203055
6,0.0000000000011657341758564144
7,0.00000000013703571610790277
8,0.0000000000025086599464430037
9,0.00000000000007860379014346108
10,0.00000000000010702549957386509
11,0.0000000000035353941996163485
12,0.00000000000029531932455029164
13,0.000000000002021938172447335
14,0.000000000004462652469783279
15,0.000000000003141042981269493
16,0.0000000011217271556063224
17,0.000000000003780531443453583
18,0.0000000002869708914943203
19,0.0000000000009774403508799878
20,0.000000000004462652469783279
21,0.000000000004491074179213683
22,0.0000000000012048140263232199
23,0.00000000004617151105890116
24,0.000000000003006039861475074
25,0.000000001303732677371272
26,0.0000000000005724309914967307
27,0.000000000011141754185928221
28,0.000000000009813039270056834
29,0.0000000001060169729782956
